model,case_id,annotation_file,body_file,row_idx,event,time,auto_found,match_type,matched_variant,evidence_sentence_idx,evidence_text,similarity_if_unfound,manual_label,manual_notes
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,22,cerebral angiography on day 3,72,0,not_found_auto,cerebral angiography on day 3,31,4 3D rotation angiography of the left internal carotid artery.,0.4667,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,31,guide wire used,72,0,not_found_auto,guide wire used,5,Chief complaint: Impaired consciousness,0.3774,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,40,unable to advance near aneurysm,72,0,not_found_auto,unable to advance near aneurysm,75,Table 1 Previous reports on distal mLSA aneurysms,0.475,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,41,DeFrictor nano catheter and TENROU S10 guide wire used,72,0,not_found_auto,defrictor nano catheter and tenrou s10 guide wire used,41,"After changing to a combination of a DeFrictor nano catheter (Medico’s Hirata, Osaka, Japan) and TENROU S10 (Kaneka Medix, Osaka, Japan) guide wire, mLSA cannulation was possible.",0.4753,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,47,aneurysm disappeared on angiography,72,0,not_found_auto,aneurysm disappeared angiography,29,A saccular aneurysm is observed adjacent to the lateral ventricle (arrowheads).,0.4074,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,48,postoperative head CT showed no hemorrhagic complications or cerebral infarction,72,0,not_found_auto,postoperative head ct showed no hemorrhagic complications or cerebral infarction,51,Course: There were no signs of hemorrhagic complications or cerebral infarction on the postoperative head CT.,0.6524,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,49,no impaired consciousness or paralysis,72,0,not_found_auto,no impaired consciousness or paralysis,52,Neither impaired consciousness nor paralysis developed.,0.8043,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,55,modified Rankin Scale score 1,4320,0,not_found_auto,modified rankin scale score 1,55,"However, after 6-month rehabilitation, she was discharged to home with a modified Rankin Scale (mRS) of 1.",0.4,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,7,leg injury,-1440,0,not_found_auto,leg injury,47,aeruginosa.,0.4,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,57,right heel unstageable,0,0,not_found_auto,right heel unstageable,31,The rehabilitative evaluations are presented in Table 1.,0.3896,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,58,left heel stage II,0,0,not_found_auto,left heel stage ii,106,CONFLICT OF INTEREST,0.3684,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,67,AF with third-degree AV block,72,0,not_found_auto,af third degree av block,100,-Able to consume pureed foods;,0.3846,,
dsr1,PMC10556716_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10556716_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10556716_body.txt,71,transferred back to hospital,120,0,not_found_auto,transferred back to hospital,36,"Two days later, the patient was transferred to our hospital.",0.5349,,
