event,time
37 years old,0
female,0
admitted to the hospital,0
body mass index of 67 kg/m2,0
back pain,0
gastroesophageal reflux disease,0
obstructive sleep apnea,0
hyperlipidemia,0
hypertension,0
tried to lose weight without success,-168
"underwent a Da Vinci-assisted, laparoscopic, one-stage, single-anastomosis DS procedure",0
terminal ileum was identified,0
ran 250 cm proximally up the ileum,0
defined the length of the common channel,0
marked the site of our duodeno-ileal anastomosis,0
greater omentum was taken from the greater curvature distally 3 cm from the pylorus,0
window was created for transection of the duodenum,0
sleeve gastrectomy was done loosely over a 34 French bougie-sized Edlich tube,0
staple line was oversewn,0
duodenum was transected 3 cm from the pylorus,0
duodenal stump was oversewn with a running absorbable suture,0
two-layer hand sewn anastomosis between the duodenum and the ileum was created,0
anastomosis was tested with methylene blue and air,0
drain was placed in left upper quadrant,0
stomach was removed,0
upper gastrointestinal study on postoperative day 2 was negative for a leak,48
bariatric phase 1 diet was started,48
patient tolerated it well,48
discharged on postoperative day 3,72
developed persistent nausea,264
developed fatigue,264
developed severe abdominal pain,264
came to the emergency department,264
found to be tachycardic,264
found to be anemic,264
found to have leukocytosis,264
abdominal exam revealed significant distension,264
abdominal exam revealed guarding,264
upper gastrointestinal study was negative,264
computed tomography of the abdomen showing free fluid,264
taken to the operating room for diagnostic laparoscopy,264
found to have hemoperitoneum,264
hemoperitoneum was evacuated,264
active bleeding source was not identifiable,264
complete inspection of the gastroileostomy anastomosis was performed,264
no leakage seen with a methylene blue test,264
attempt to explore the duodenal stump was made,264
attempt was unsuccessful due to retraction of the duodenal stump and inflammation,264
three large 19F Blake drains were placed,264
transfused with 2 units of packed red blood cells,264
kept intubated and sent to intensive care unit,264
doing well the following day,288
transferred to step down,288
became hypotensive,336
unresponsive to fluids,336
abdominal drain had increased sanguinous output,336
second drain showed frank bile,336
elevated bilirubin and amylase,336
became tachycardic,336
taken back to the operating room for exploratory laparotomy,336
underwent laparotomy through a generous right subcostal incision,336
large amount of hemoperitoneum was encountered,336
hemoperitoneum was temporized with packing,336
identified as coming from the gastroduodenal artery,336
gastroduodenal artery was over-sewn,336
duodenal stump was found to have total stump blow,336
staple line was completely undone,336
Malecot tube was placed in the duodenum,336
over-sewn with a purse-string suture,336
abdomen was closed,336
drains were placed,336
blood loss was 2500 cc,336
received 5 units of PRBCs and 4 units of fresh frozen plasma,336
transferred to the ICU,336
post-operative course was complicated by hemorrhagic fluid collections,336
post-operative course was complicated by atelectasis,336
developed acute thrombosis of the left internal jugular and subclavian veins,336
placed on therapeutic Lovenox and octreotide,336
given intravenous piperacillin/taxobactam,336
changed to cefazolin,336
successfully discharged on postoperative day 17,408
home health care for dressing changes,408
total parenteral nutrition,408
