common.bns,files,pilot.files,v1,v2,error.rate,idx,match.idx,keep,ref.time,pilot.time
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,hemorrhage confined within the ventricles,hemorrhage confined within the ventricles,9.514611321037593e-14,17,19,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,event,event,9.603429163007605e-14,1,1,TRUE,time,time
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,implantation of a biventricular pacing implantable cardioverter defibrillator,implantation of a biventricular pacing implantable cardioverter defibrillator,9.947598300641405e-14,57,6,TRUE,-2160,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,history of atrial fibrillation,history of atrial fibrillation,1.0824674490095278e-13,55,4,TRUE,-2880,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,discharged to home,discharged to home,1.1390888232654106e-13,53,58,TRUE,4368,4656.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,ventricular drainage not performed,ventricular drainage not performed,1.2023715356690445e-13,27,29,TRUE,2,2.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,33% NBCA-Lipiodol mixture injected,33% NBCA-Lipiodol mixture injected,1.2290168882600485e-13,41,42,TRUE,72,48.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,modified Rankin Scale (mRS) of 1,modified Rankin Scale (mRS) of 1,1.2367884494324244e-13,54,59,TRUE,4368,4656.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,Lipiodol remained as a high-density spot on the lateral ventricular wall of the anterior horn of the left lateral ventricle,Lipiodol remained as a high-density spot on the lateral ventricular wall of the anterior horn of the left lateral ventricle,1.2445600106048005e-13,48,50,TRUE,74,52.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,female,female,1.2989609388114334e-13,3,3,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,no subarachnoid hemorrhage,no subarachnoid hemorrhage,1.3233858453531866e-13,20,22,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,systemic heparinization,systemic heparinization,1.354472090042691e-13,33,35,TRUE,72,48.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,no intracerebral hemorrhage,no intracerebral hemorrhage,1.3966605649784472e-13,19,21,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,no progression of impaired consciousness,no progression of impaired consciousness,1.412203687323199e-13,26,28,TRUE,6,2.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,no clear neurological deficits,no clear neurological deficits,1.4210854715202006e-13,10,14,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,blood pressure control initiated,blood pressure control initiated,1.431077478741827e-13,25,30,TRUE,2,2.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,hemorrhage in the third ventricle,hemorrhage in the third ventricle,1.517674874662589e-13,13,16,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,brain 3D-CTA performed,brain 3D-CTA performed,1.759703494030873e-13,21,24,TRUE,1,1.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,transported to our hospital by ambulance,transported to our hospital by ambulance,1.7985612998927538e-13,5,9,TRUE,-1,-0.5
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,general anesthesia,general anesthesia,1.820765760385257e-13,32,34,TRUE,72,48.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,found lying at home,found lying at home,1.894040480010517e-13,4,8,TRUE,-2,-1.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,history of dilated cardiomyopathy,history of dilated cardiomyopathy,1.8962609260597674e-13,56,5,TRUE,-2880,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,admitted to the hospital,admitted to the hospital,1.991740106177531e-13,6,10,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,hemorrhage in the fourth ventricle,hemorrhage in the fourth ventricle,2.0528023725319147e-13,14,17,TRUE,0,0.0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/gpt5_tts/run3/PMC10370906_body.csv,mild ventricular dilatation,mild ventricular dilatation,2.275957200481571e-13,18,20,TRUE,0,0.0
