model,case_id,annotation_file,body_file,row_idx,event,time,auto_found,match_type,matched_variant,evidence_sentence_idx,evidence_text,similarity_if_unfound,manual_label,manual_notes
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,0,60-year-old,0,1,exact_substring_sentence,60 year old,4,Patient: A 60-year-old female,1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,1,female,0,1,exact_substring_sentence,female,4,Patient: A 60-year-old female,1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,2,impaired consciousness,0,1,exact_substring_sentence,impaired consciousness,5,Chief complaint: Impaired consciousness,1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,3,atrial fibrillation,0,1,exact_substring_sentence,atrial fibrillation,6,"Past medical history: She had a history of atrial fibrillation and dilated cardiomyopathy, and was receiving oral warfarin after implantation of a biventricular pacing implantable cardioverter defibrillator.",1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,4,dilated cardiomyopathy,0,1,exact_substring_sentence,dilated cardiomyopathy,6,"Past medical history: She had a history of atrial fibrillation and dilated cardiomyopathy, and was receiving oral warfarin after implantation of a biventricular pacing implantable cardioverter defibrillator.",1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,5,oral warfarin,0,1,exact_substring_sentence,oral warfarin,6,"Past medical history: She had a history of atrial fibrillation and dilated cardiomyopathy, and was receiving oral warfarin after implantation of a biventricular pacing implantable cardioverter defibrillator.",1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,6,biventricular pacing implantable cardioverter defibrillator,0,1,exact_substring_sentence,biventricular pacing implantable cardioverter defibrillator,6,"Past medical history: She had a history of atrial fibrillation and dilated cardiomyopathy, and was receiving oral warfarin after implantation of a biventricular pacing implantable cardioverter defibrillator.",1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,7,found lying at home,0,1,exact_substring_sentence,found lying at home,7,History of present illness: She was found lying at home with her family and transported to our hospital by ambulance.,1.0,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,8,transported to hospital,0,1,ordered_token_subsequence,transported to hospital,7,History of present illness: She was found lying at home with her family and transported to our hospital by ambulance.,,,
dsr1,PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/sepsis-40_dsr1_tts/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/chil_stts/sepsis-10/body/PMC10370906_body.txt,9,Japan Coma Scale score II-10,0,1,ordered_token_subsequence,japan coma scale score ii 10,8,"When she arrived at the hospital, the Japan Coma Scale (JCS) score was II-10 and the Glasgow Coma Scale (GCS) score was 14 (E3V5M6), and no clear neurological deficits were observed.",,,
