common.bns,files,pilot.files,v1,v2,error.rate,idx,match.idx,keep,ref.time,pilot.time
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,female,female,1.2800871473928057e-13,9,3,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,implantation of a biventricular pacing implantable cardioverter defibrillator,implantation of a biventricular pacing implantable cardioverter defibrillator,1.482147737874584e-13,5,7,TRUE,-8760,-8760
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,non-contrast head CT revealed hemorrhage in the third and fourth ventricles,non-contrast head CT revealed hemorrhage in the third and fourth ventricles,1.55875312657372e-13,15,15,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,event,event,1.6142642778049779e-13,1,1,TRUE,time,time
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,sepsis triggered by pneumonia developed,sepsis triggered by pneumonia developed,1.6930901125533637e-13,36,34,TRUE,336,168
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,aneurysm embolization was performed,aneurysm embolization was performed,1.6964207816272394e-13,25,27,TRUE,72,72
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,ventricular drainage was not performed,ventricular drainage was not performed,1.7341683644644945e-13,21,22,TRUE,0,1
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,history of atrial fibrillation,history of atrial fibrillation,1.7486012637846218e-13,2,4,TRUE,-8760,-8760
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,lipiodol remained as a high-density spot on the lateral ventricular wall of the anterior horn of the left lateral ventricle,Lipiodol remained as a high-density spot on the lateral ventricular wall of the anterior horn of the left lateral ventricle,1.8030021919912545e-13,35,32,TRUE,73,80
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,spot enhancement on the lateral wall of the anterior horn of the left lateral ventricle,spot enhancement on the lateral wall of the anterior horn of the left lateral ventricle,1.8041124150158794e-13,19,20,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,history of dilated cardiomyopathy,history of dilated cardiomyopathy,1.9040324872321437e-13,3,5,TRUE,-8760,-8760
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,receiving oral warfarin,receiving oral warfarin,2.37254660362396e-13,4,6,TRUE,-8760,-8760
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,transported to our hospital by ambulance,transported to our hospital by ambulance,2.4502622153477205e-13,7,9,TRUE,-1,-1
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,found lying at home with her family,found lying at home with her family,2.533528942194607e-13,6,8,TRUE,-2,-2
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,no progression of impaired consciousness,no progression of impaired consciousness,3.029798634202052e-13,20,21,TRUE,0,1
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,hemorrhage in bilateral lateral ventricles with left dominance,hemorrhage in the bilateral lateral ventricles with left dominance,8.2708166627676e-4,16,16,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,a decrease in muscle strength associated with disuse remained,decrease in muscle strength associated with disuse remained,0.00115810736842258,37,35,TRUE,336,168
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,hemorrhage was confined within the ventricles,hemorrhage confined within the ventricles,0.00450630446059507,17,17,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,60 years old,60-year-old,0.00827267351959415,8,2,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,admitted to our hospital,admitted to the hospital,0.00858196070011418,11,10,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,no clear neurological deficits were observed,no clear neurological deficits,0.01386251821268425,14,14,TRUE,0,0
PMC10370906_body,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run1/PMC10370906_body.csv,/mnt/c/Research/textual-time-series-for-sepsis/new_analysis/chil2026_rebuttal/multi-runs/o1_tts/run2/PMC10370906_body.csv,cerebral angiograph revealed an aneurysm (3.8 mm) at a distal site of the mLSA from the proximal A1 segment of the left ACA,aneurysm (3.8 mm in size) at the distal site of the mLSA arising from the A1 segment of the left ACA,0.01508414949180525,23,25,TRUE,72,72
